reads,channel1,channel2,channel3,channel4,channel5,channel6,channel7,channel8,mean()Acc_X,mean()Acc_Y,mean()Acc_Z,class,label
1,"0,00001","-0,00002","-0,00001","-0,00003",0,"-0,00001",0,"-0,00001",0.25717778,-0.02328523,-0.014653762,0,1
5,"0,00001","-0,00002","-0,00001","-0,00003",0,"-0,00001",0,"-0,00001",0.28602671,-0.013163359,-0.11908252,0,1
6,"-0,00001","0,00001","0,00002",0,"0,00001","-0,00002","-0,00001","0,00001",0.27548482,-0.02605042,-0.11815167,0,1
7,"-0,00001","0,00001","0,00002",0,"0,00001","-0,00002","-0,00001","0,00001",0.27029822,-0.032613869,-0.11752018,0,1
8,"-0,00001","0,00001","0,00002",0,"0,00001","-0,00002","-0,00001","0,00001",0.27483295,-0.027847788,-0.12952716,0,1
9,"-0,00001","0,00001","0,00002",0,"0,00001","-0,00002","-0,00001","0,00001",0.27921995,-0.018620399,-0.11390197,0,1
10,"-0,00001","0,00001","0,00002",0,"0,00001","-0,00002","-0,00001","0,00001",0.27974586,-0.018271026,-0.10399988,0,1
11,"-0,00001","0,00001","0,00002",0,"0,00001","-0,00002","-0,00001","0,00001",0.27460055,-0.02503513,-0.11683085,0,1
12,"-0,00001","0,00001","0,00002",0,"0,00001","-0,00002","-0,00001","0,00001",0.27252874,-0.020954013,-0.11447249,0,1
13,"-0,00001","0,00001","0,00002",0,"0,00001","-0,00002","-0,00001","0,00001",0.2757457,-0.010371994,-0.09977589,0,1
14,"-0,00001","0,00001","0,00002",0,"0,00001","-0,00002","-0,00001","0,00001",0.27859589,-0.015231928,-0.098908415,0,1
15,"-0,00001","0,00001","0,00002",0,"0,00001","-0,00002","-0,00001","0,00001",0.27915178,-0.021879444,-0.10973077,0,1
16,"-0,00001","0,00001","0,00002",0,"0,00001","-0,00002","-0,00001","0,00001",0.27454383,-0.023145294,-0.1125396,0,1
17,"-0,00001","0,00001","0,00002",0,"0,00001","-0,00002","-0,00001","0,00001",0.26906631,-0.027685967,-0.11017794,0,1
18,"-0,00001","-0,00001","-0,00006","-0,00005","-0,00003","-0,00003","-0,00002","-0,00002",0.27557925,-0.018936424,-0.097409776,0,1
19,"-0,00001","-0,00001","-0,00006","-0,00005","-0,00003","-0,00003","-0,00002","-0,00002",0.28193083,-0.004880615,-0.086106145,0,1
20,"-0,00001","-0,00001","-0,00006","-0,00005","-0,00003","-0,00003","-0,00002","-0,00002",0.31107792,-0.019430625,-0.10186634,0,1
21,"-0,00001","-0,00001","-0,00006","-0,00005","-0,00003","-0,00003","-0,00002","-0,00002",0.26232825,-0.023257054,-0.12552494,0,1
22,"-0,00001","-0,00001","-0,00006","-0,00005","-0,00003","-0,00003","-0,00002","-0,00002",0.28841575,-0.003485395,-0.083827858,0,1
23,"-0,00001","-0,00001","-0,00006","-0,00005","-0,00003","-0,00003","-0,00002","-0,00002",0.27116593,-0.025972908,-0.094923481,0,1
24,"-0,00003","-0,00001","-0,00004","-0,00001","-0,00001","0,00001","-0,00002",0,0.25309467,-0.044192268,-0.13929762,0,1
25,"-0,00003","-0,00001","-0,00004","-0,00001","-0,00001","0,00001","-0,00002",0,0.27133883,-0.029954058,-0.11859533,0,1
26,"-0,00003","-0,00001","-0,00004","-0,00001","-0,00001","0,00001","-0,00002",0,0.29926682,0.011798517,-0.031653276,0,1
27,"-0,00003","-0,00001","-0,00004","-0,00001","-0,00001","0,00001","-0,00002",0,0.29389749,0.01115091,-0.069281198,0,1
28,"-0,00003","-0,00001","-0,00004","-0,00001","-0,00001","0,00001","-0,00002",0,0.27563911,-0.015565524,-0.1254582,0,1
29,"-0,00003","-0,00001","-0,00004","-0,00001","-0,00001","0,00001","-0,00002",0,0.27225459,-0.025051205,-0.13318432,0,1
30,"-0,00003","-0,00001","-0,00004","-0,00001","-0,00001","0,00001","-0,00002",0,0.27642711,-0.026277565,-0.12694133,0,1
31,"-0,00003","-0,00001","-0,00004","-0,00001","-0,00001","0,00001","-0,00002",0,0.28016952,-0.014362437,-0.10047145,0,1
33,"-0,00003","-0,00001","-0,00004","-0,00001","-0,00001","0,00001","-0,00002",0,0.27746102,-0.01584543,-0.10639347,0,1
34,"-0,00003","-0,00001","-0,00004","-0,00001","-0,00001","0,00001","-0,00002",0,0.28837469,-0.0085476599,-0.10705876,0,1
35,"-0,00003","-0,00001","-0,00004","-0,00001","-0,00001","0,00001","-0,00002",0,0.28590496,-0.0077447295,-0.10273652,0,1
45,"-0,00001","-0,00001","-0,00002","0,00004","-0,00001","-0,00001",0,"-0,00001",0.29648714,-0.014684879,-0.13980848,0,1
47,0,"-0,00002","-0,00003","0,00004","-0,00002","-0,00001","-0,00002",0,0.27723542,-0.025677001,-0.11843072,0,1
48,0,"-0,00002","-0,00003","0,00004","-0,00002","-0,00001","-0,00002",0,0.2782907,-0.014536086,-0.10524253,0,1
49,0,"-0,00002","-0,00003","0,00004","-0,00002","-0,00001","-0,00002",0,0.27815992,-0.0076678258,-0.09927102,0,1
50,0,"-0,00002","-0,00003","0,00004","-0,00002","-0,00001","-0,00002",0,0.27664638,-0.0049748937,-0.104754,0,1
51,0,"-0,00002","-0,00003","0,00004","-0,00002","-0,00001","-0,00002",0,0.27829493,-0.022664347,-0.11591945,0,1
52,0,"-0,00002","-0,00003","0,00004","-0,00002","-0,00001","-0,00002",0,0.27505303,-0.024059404,-0.10589705,0,1
53,0,"-0,00002","-0,00003","0,00004","-0,00002","-0,00001","-0,00002",0,0.27486428,-0.01561837,-0.097528302,0,1
54,"-0,00001","0,00003","0,00002","0,00004","-0,00001","-0,00001","0,00001",0,0.27871074,-0.016793927,-0.10524076,0,1
55,"-0,00001","0,00003","0,00002","0,00004","-0,00001","-0,00001","0,00001",0,0.27822455,-0.016181738,-0.1075716,0,1
56,"-0,00001","0,00003","0,00002","0,00004","-0,00001","-0,00001","0,00001",0,0.27625455,-0.016985093,-0.10885324,0,1
57,"-0,00001","0,00003","0,00002","0,00004","-0,00001","-0,00001","0,00001",0,0.27574674,-0.015388072,-0.10505767,0,1
58,"-0,00001","0,00003","0,00002","0,00004","-0,00001","-0,00001","0,00001",0,0.28028279,-0.019175262,-0.10932156,0,1
59,"-0,00001","0,00003","0,00002","0,00004","-0,00001","-0,00001","0,00001",0,0.28540286,0.002355779,-0.16984868,0,1
60,"-0,00001","0,00003","0,00002","0,00004","-0,00001","-0,00001","0,00001",0,0.27047249,-0.0089373643,-0.095150167,0,1
61,"-0,00001","0,00003","0,00002","0,00004","-0,00001","-0,00001","0,00001",0,0.28022445,-0.028037933,-0.12428498,0,1
62,"-0,00001","0,00003","0,00002","0,00004","-0,00001","-0,00001","0,00001",0,0.27724091,-0.01767369,-0.12039377,0,1
63,"-0,00001","-0,00008","-0,00008","-0,00007","-0,00003","-0,00002","0,00002","-0,00002",0.27925474,-0.012044574,-0.11526539,0,1
64,"-0,00001","-0,00008","-0,00008","-0,00007","-0,00003","-0,00002","0,00002","-0,00002",0.27981772,-0.010396061,-0.11320248,0,1
65,"-0,00001","-0,00008","-0,00008","-0,00007","-0,00003","-0,00002","0,00002","-0,00002",0.27579491,-0.034804666,-0.10983325,0,1
66,"-0,00001","-0,00008","-0,00008","-0,00007","-0,00003","-0,00002","0,00002","-0,00002",0.27379132,-0.041945691,-0.10724671,0,1
67,"-0,00001","-0,00008","-0,00008","-0,00007","-0,00003","-0,00002","0,00002","-0,00002",0.27609539,-0.018046144,-0.11243656,0,1
68,"-0,00001","-0,00008","-0,00008","-0,00007","-0,00003","-0,00002","0,00002","-0,00002",0.27767523,-0.012379484,-0.10466656,0,1
69,"-0,00001","-0,00008","-0,00008","-0,00007","-0,00003","-0,00002","0,00002","-0,00002",0.27679437,-0.017846957,-0.099866917,0,1
70,"-0,00001","-0,00008","-0,00008","-0,00007","-0,00003","-0,00002","0,00002","-0,00002",0.17376905,-0.024869125,-0.094733441,0,1
71,"-0,00001","-0,00008","-0,00008","-0,00007","-0,00003","-0,00002","0,00002","-0,00002",0.3009048,-0.023610414,-0.096890735,0,1
72,"-0,00001","-0,00008","-0,00008","-0,00007","-0,00003","-0,00002","0,00002","-0,00002",0.28567994,-0.021402652,-0.099788959,0,1
